id,rssi,snr,relay
142,-78,-1.3,0
143,-61,10.8,0
144,-76,3.3,0
145,-82,1.7,1
146,-88,-2.5,1
147,-71,4.4,0
148,-98,-7.4,0
149,-73,4.4,0
150,-68,4.0,0
151,-75,0.1,0
152,-68,8.5,0
153,-110,-15.2,1
154,-103,-14.6,1
155,-99,-8.5,1
156,-79,-1.6,0
157,-57,10.1,0
158,-90,-5.6,1
159,-119,-20.0,1
160,-76,-1.3,0
161,-61,11.9,0
162,-84,-6.3,1
163,-97,-10.9,1
164,-119,-15.5,1
165,-104,-13.6,1
166,-69,7.6,0
167,-62,8.3,0
168,-112,-15.6,1
169,-103,-10.3,1
170,-102,-11.0,1
171,-115,-18.4,1
172,-114,-19.4,1
173,-106,-15.8,1
174,-100,-9.5,1
175,-74,1.6,0
176,-102,-13.5,1
177,-108,-14.7,0
178,-61,3.1,0
179,-98,-10.7,1
180,-63,10.3,0
181,-118,-19.4,1
182,-103,-11.6,1
183,-107,-14.2,1
184,-106,-9.3,1
185,-93,-3.8,1
186,-76,2.9,0
187,-101,-11.5,1
188,-86,-3.2,1
189,-99,-10.3,0
190,-64,8.6,0
191,-103,-7.8,1
192,-95,-9.0,1
193,-80,0.2,1
194,-87,-1.6,0
195,-87,-3.3,0
196,-88,-5.8,0
197,-65,3.9,0
198,-80,5.8,0
199,-110,-20.0,1
200,-111,-17.3,1
201,-77,3.9,1
202,-69,6.2,0
203,-108,-14.4,1
204,-90,-2.8,1
205,-117,-18.1,1
206,-88,-3.2,0
207,-118,-18.7,1
208,-90,-3.4,0
209,-110,-16.5,1
210,-120,-17.2,1
211,-82,-2.3,0
212,-71,0.6,1
213,-108,-13.2,1
214,-66,4.7,0
215,-105,-11.3,1
216,-56,11.2,0
217,-92,-4.3,0
218,-79,-2.3,0
219,-58,9.8,0
220,-72,3.1,0
221,-115,-18.2,1
222,-109,-17.3,1
223,-108,-8.7,1
224,-57,9.2,0
225,-61,9.4,0
226,-119,-20.0,1
227,-62,9.8,0
228,-68,3.6,0
229,-57,8.4,0
230,-60,10.3,0
231,-99,-9.8,1
232,-98,-6.1,0
233,-86,-4.2,1
234,-118,-19.2,1
235,-115,-15.3,1
236,-78,-0.5,0
237,-90,-5.6,0
238,-111,-15.5,1
239,-114,-18.5,1
240,-71,3.8,1
241,-81,3.0,0
242,-73,6.7,0
243,-89,-6.6,0
244,-94,-3.4,1
245,-65,5.1,0
246,-91,-4.6,0
247,-82,-3.2,1
248,-59,8.8,0
249,-118,-20.0,1
250,-86,-3.0,1
251,-92,-6.3,1
252,-86,-3.7,0
253,-112,-17.0,1
254,-109,-13.6,1
255,-113,-11.8,1
256,-120,-16.3,1
257,-103,-10.9,1
258,-115,-19.9,1
259,-61,9.8,0
260,-83,2.0,0
261,-84,2.7,0
262,-75,3.3,0
263,-86,1.3,0
264,-57,9.0,0
265,-57,11.9,0
266,-102,-10.9,1
267,-80,4.1,0
268,-74,3.9,0
269,-84,-4.8,0
270,-117,-18.8,1
271,-85,-4.2,1
272,-95,-7.4,1
273,-76,2.3,0
274,-87,-2.4,1
275,-102,-11.9,1
276,-98,-10.1,1
277,-112,-12.4,1
278,-67,4.6,0
279,-75,1.5,0
280,-113,-18.2,1
281,-95,-5.4,1
282,-83,-2.3,0
283,-97,-8.8,1
284,-105,-15.3,1
285,-104,-13.1,1
286,-83,1.0,0
287,-85,-1.0,0
288,-74,2.3,0
289,-104,-16.8,1
290,-87,-2.9,0
291,-113,-14.6,1
292,-93,-4.7,1
293,-91,-6.0,0
294,-120,-18.9,1
295,-114,-16.0,1
296,-95,-9.6,1
297,-70,4.1,0
298,-72,-0.1,0
299,-101,-11.1,1
300,-118,-17.9,1
301,-75,1.4,0
302,-64,4.3,0
303,-109,-13.0,1
304,-78,1.9,0
305,-80,-1.1,0
306,-75,4.5,0
307,-60,9.6,0
308,-80,2.1,0
309,-109,-17.0,1
310,-96,-7.1,1
311,-116,-18.2,1
312,-98,-8.7,1
313,-93,-3.9,1
314,-66,6.3,0
315,-101,-13.2,1
316,-66,2.3,0
317,-95,-7.3,1
318,-80,1.7,0
319,-64,8.4,0
320,-64,5.1,0
321,-118,-18.9,1
322,-89,-3.5,0
323,-92,-6.0,1
324,-113,-16.1,1
325,-112,-18.3,0
326,-79,-1.5,0
327,-99,-8.9,1
328,-98,-9.7,1
329,-79,1.0,0
330,-63,8.6,0
331,-88,-5.1,1
332,-110,-15.7,1
333,-64,12.0,0
334,-92,-2.1,0
335,-114,-17.9,0
336,-91,-7.7,1
337,-89,-4.9,1
338,-92,-13.2,1
339,-74,0.6,0
340,-109,-14.9,1
341,-81,-0.4,0
342,-69,3.6,0
343,-96,-8.2,1
344,-82,-3.3,0
345,-99,-7.1,1
346,-72,0.5,0
347,-108,-14.6,1
348,-86,-3.0,1
349,-72,4.6,0
350,-73,2.1,0
351,-97,-13.6,1
352,-63,7.5,0
353,-60,8.1,0
354,-60,8.5,0
355,-77,-0.6,0
356,-96,-7.0,1
357,-96,-7.2,0
358,-82,-3.2,0
359,-97,-8.5,1
360,-104,-14.1,1
361,-97,-11.3,1
362,-101,-10.1,0
363,-68,6.9,0
364,-100,-9.0,1
365,-74,4.0,1
366,-109,-14.6,1
367,-59,12.0,0
368,-80,-0.9,0
369,-80,-0.5,0
370,-112,-15.1,0
371,-61,9.3,0
372,-72,2.9,0
373,-111,-13.0,1
374,-70,4.1,0
375,-60,6.0,0
376,-59,8.7,0
377,-110,-18.8,1
378,-94,-11.7,1
379,-91,-9.0,1
380,-79,-1.5,0
381,-101,-10.0,1
382,-102,-14.6,1
383,-86,-2.2,0
384,-75,3.6,1
385,-113,-17.3,1
386,-115,-17.4,0
387,-96,-9.0,1
388,-98,-10.6,1
389,-85,-0.9,0
390,-90,-3.6,1
391,-69,5.8,0
392,-76,2.5,0
393,-82,-2.6,0
394,-59,10.3,0
395,-61,6.7,0
396,-56,9.9,0
397,-56,8.9,0
398,-89,-0.9,0
399,-110,-19.1,1
400,-74,3.8,0
401,-112,-12.4,1
402,-99,-10.4,1
403,-57,9.9,0
404,-101,-14.3,1
405,-63,5.4,1
406,-56,7.6,0
407,-79,-0.5,0
408,-66,8.0,0
409,-85,-3.2,0
410,-83,-2.2,0
411,-75,1.9,0
412,-63,7.4,0
413,-59,7.7,0
414,-85,-3.6,0
415,-79,2.9,0
416,-59,7.7,0
417,-81,-4.8,0
418,-112,-15.4,1
419,-64,9.1,0
420,-105,-13.0,1
421,-56,8.6,0
422,-72,4.4,0
423,-97,-11.5,1
424,-67,8.3,0
425,-100,-10.9,1
426,-92,-4.2,1
427,-114,-18.4,1
428,-85,-1.4,0
429,-70,6.1,0
430,-74,2.2,0
431,-68,6.7,0
432,-107,-15.0,1
433,-115,-16.1,1
434,-100,-7.3,1
435,-65,8.6,0
436,-62,9.0,0
437,-114,-13.4,1
438,-98,-8.1,1
439,-71,6.0,0
440,-93,-8.2,1
441,-75,2.6,0
442,-104,-11.7,1
443,-82,-1.9,0
444,-102,-9.8,1
445,-61,7.6,0
446,-90,-5.9,0
447,-73,3.0,0
448,-68,2.2,0
449,-108,-11.4,1
450,-84,-2.9,1
451,-84,1.5,0
452,-117,-16.8,1
453,-111,-14.9,1
454,-59,10.1,0
455,-117,-18.5,1
456,-57,8.3,0
457,-91,-5.2,0
458,-89,-3.1,0
459,-75,3.9,0
460,-65,8.3,0
461,-100,-10.1,1
462,-118,-18.2,1
463,-58,12.0,0
464,-120,-19.5,1
465,-109,-13.9,1
466,-92,-4.2,1
467,-61,10.2,0
468,-115,-15.1,0
469,-93,-3.7,0
470,-70,5.4,0
471,-91,-3.9,1
472,-73,3.4,0
473,-80,0.8,1
474,-63,11.8,0
475,-88,-1.0,1
476,-93,-11.8,1
477,-63,9.8,0
478,-81,1.2,0
479,-56,12.0,0
480,-98,-10.5,1
481,-61,10.9,0
482,-67,6.8,0
483,-88,-3.7,0
484,-67,3.7,0
485,-107,-14.4,1
486,-90,-5.5,0
487,-76,1.2,0
488,-67,5.0,0
489,-94,-6.3,1
490,-118,-20.0,1
491,-80,0.0,0
492,-74,2.6,0
493,-73,3.8,0
494,-111,-14.6,1
495,-105,-18.0,1
496,-76,2.8,0
497,-75,2.8,0
498,-112,-15.9,0
499,-82,-1.6,1
500,-112,-16.2,1
501,-116,-16.9,1
502,-98,-8.3,1
503,-82,0.3,0
504,-56,10.1,0
505,-59,11.5,0
506,-118,-20.0,1
507,-114,-15.8,1
508,-114,-18.6,1
509,-98,-8.6,1
510,-106,-12.9,1
511,-70,2.2,0
512,-103,-12.9,1
513,-101,-12.0,1
514,-116,-17.0,1
515,-71,6.5,0
516,-117,-16.3,1
517,-63,7.3,0
518,-63,8.1,0
519,-58,12.0,0
520,-105,-10.2,1
521,-115,-18.6,1
522,-84,-0.7,0
523,-85,-2.5,1
524,-95,-9.4,1
525,-60,10.6,0
526,-110,-15.5,1
527,-110,-17.2,1
528,-85,-0.4,1
529,-78,2.2,0
530,-101,-13.9,1
531,-64,8.5,0
532,-72,4.7,0
533,-105,-11.6,1
534,-112,-19.2,1
535,-106,-12.2,1
536,-95,-10.0,1
537,-62,9.1,0
538,-101,-12.8,1
539,-100,-8.3,1
540,-99,-6.3,1
541,-103,-11.5,1
542,-115,-19.7,1
543,-80,1.9,0
544,-103,-13.3,1
545,-94,-3.5,0
546,-90,-4.3,1
547,-105,-13.1,1
548,-101,-13.6,1
549,-58,12.0,0
550,-103,-11.5,1
551,-107,-17.0,1
552,-109,-13.8,1
553,-89,-2.6,0
554,-94,-5.4,1
555,-94,-10.2,1
556,-104,-14.2,1
557,-100,-13.7,1
558,-66,5.7,0
559,-76,3.5,0
560,-59,10.1,0
561,-93,-6.9,1
562,-109,-13.9,1
563,-62,7.5,0
564,-82,-1.8,0
565,-91,-7.1,0
566,-73,2.5,0
567,-113,-14.0,1
568,-88,-3.8,0
569,-118,-18.9,1
570,-119,-20.0,1
571,-59,7.5,0
572,-111,-18.2,1
573,-103,-10.7,1
574,-74,4.8,0
575,-67,5.8,0
576,-90,-3.7,1
577,-92,-5.7,1
578,-106,-14.6,1
579,-89,-7.2,1
580,-114,-16.0,1
581,-58,12.0,0
582,-91,-8.3,0
583,-56,10.7,0
584,-109,-13.9,1
585,-82,0.0,1
586,-112,-15.8,1
587,-94,-9.5,0
588,-109,-13.2,1
589,-106,-11.8,1
590,-83,1.4,0
591,-88,-4.6,0
592,-112,-15.7,1
593,-80,0.4,0
594,-109,-13.6,1
595,-99,-10.8,1
596,-75,1.6,0
597,-99,-12.9,1
598,-62,10.1,0
599,-120,-19.5,1
600,-58,9.9,0
601,-118,-17.3,1
602,-79,-1.0,0
603,-72,4.0,0
604,-74,2.4,0
605,-61,3.9,0
606,-68,4.2,0
607,-69,3.7,0
608,-84,-1.6,0
609,-62,4.2,0
610,-66,6.3,0
611,-60,5.6,1
612,-116,-15.9,1
613,-58,12.0,0
614,-59,7.3,0
615,-116,-16.5,1
616,-72,4.7,0
617,-79,0.7,0
618,-97,-8.1,1
619,-72,5.3,0
620,-58,8.3,0
621,-84,-6.0,0
622,-102,-11.2,1
623,-104,-10.6,1
624,-79,1.0,1
625,-95,-9.7,1
626,-55,11.1,0
627,-99,-8.6,1
628,-103,-12.0,1
629,-119,-20.0,1
630,-72,0.8,0
631,-86,-4.6,0
632,-111,-13.9,1
633,-85,-4.3,1
634,-86,-0.2,0
635,-74,2.4,0
636,-106,-10.2,1
637,-96,-10.8,1
638,-78,2.3,0
639,-85,-1.5,1
640,-115,-16.4,1
641,-61,10.3,0
642,-102,-11.8,1
643,-95,-9.3,1
644,-94,-10.3,1
645,-85,-4.0,0
646,-115,-14.2,1
647,-116,-16.7,1
648,-117,-20.0,1
649,-92,-7.6,1
650,-57,9.4,0
651,-82,-0.1,0
652,-94,-8.7,1
653,-87,-4.3,1
654,-92,-10.7,1
655,-88,-2.7,0
656,-101,-11.0,1
657,-110,-10.4,1
658,-66,6.0,0
659,-112,-12.4,1
660,-110,-15.4,1
661,-79,0.5,0
662,-116,-20.0,1
663,-86,-4.8,0
664,-57,11.1,0
665,-112,-18.1,1
666,-98,-10.6,1
667,-93,-4.8,0
668,-101,-10.5,1
669,-61,8.6,0
670,-74,-0.3,0
671,-93,-4.4,1
672,-98,-8.3,1
673,-62,8.4,0
674,-116,-16.3,1
675,-86,-1.4,0
676,-67,5.2,0
677,-115,-16.5,1
678,-116,-17.4,1
679,-90,-2.8,0
680,-88,-3.8,1
681,-55,11.1,0
682,-114,-15.6,1
683,-59,6.9,0
684,-80,2.5,0
685,-55,12.0,0
686,-63,10.1,0
687,-70,6.2,0
688,-112,-16.2,1
689,-106,-14.6,1
690,-89,-6.4,0
691,-75,1.9,0
692,-107,-12.9,1
693,-109,-14.5,0
694,-59,8.1,0
695,-62,7.6,0
696,-91,-5.6,1
697,-64,9.0,0
698,-69,5.2,0
699,-86,-4.9,0
700,-66,10.9,0
701,-66,7.4,0
702,-87,-1.3,0
703,-60,10.9,0
704,-98,-8.2,1
705,-63,8.7,0
706,-59,9.6,0
707,-109,-15.0,1
708,-75,1.5,0
709,-68,4.9,0
710,-62,5.8,0
711,-76,2.4,0
712,-61,6.0,0
713,-55,10.2,0
714,-80,-0.8,1
715,-89,1.2,0
716,-70,7.6,0
717,-82,-2.9,1
718,-67,6.9,0
719,-117,-15.7,1
720,-100,-10.5,1
721,-64,9.7,0
722,-109,-15.1,1
723,-86,-4.7,0
724,-109,-14.8,1
725,-98,-9.6,1
726,-109,-14.9,1
727,-68,6.5,0
728,-67,9.5,0
729,-120,-20.0,1
730,-67,8.1,0
731,-105,-13.8,1
732,-103,-9.4,1
733,-100,-11.7,1
734,-99,-7.5,0
735,-73,1.3,0
736,-64,9.7,0
737,-59,7.9,0
738,-107,-14.2,1
739,-79,-0.6,1
740,-104,-14.1,1
741,-64,7.4,0
742,-70,4.7,0
743,-72,5.9,0
744,-106,-11.1,1
745,-77,0.2,0
746,-68,6.2,0
747,-74,3.3,0
748,-90,-7.4,0
749,-89,-4.5,1
750,-95,-7.7,1
751,-90,-4.1,1
752,-110,-13.9,1
753,-105,-14.9,1
754,-112,-18.7,1
755,-75,0.1,0
756,-76,1.8,0
757,-58,11.9,0
758,-94,-6.1,1
759,-89,-8.1,0
760,-68,6.8,0
761,-119,-20.0,1
762,-59,8.3,0
763,-85,-3.9,1
764,-110,-15.7,1
765,-118,-16.9,1
766,-105,-13.4,1
767,-98,-3.6,1
768,-112,-15.0,1
769,-63,9.7,0
770,-91,-6.0,1
771,-87,-6.1,0
772,-60,9.5,0
773,-90,-5.9,0
774,-63,8.4,0
775,-100,-10.7,1
776,-117,-20.0,1
777,-84,-0.6,0
778,-102,-11.8,1
779,-102,-12.4,1
780,-90,-5.0,0
781,-71,1.5,0
782,-108,-12.7,1
783,-69,5.1,0
784,-112,-15.2,1
785,-66,7.1,0
786,-117,-16.3,1
787,-77,2.6,0
788,-106,-14.1,1
789,-77,-1.1,0
790,-101,-10.4,1
791,-77,4.0,1
792,-105,-12.9,1
793,-97,-7.4,0
794,-75,-1.8,0
795,-79,-0.3,0
796,-91,-8.7,0
797,-112,-16.6,1
798,-111,-15.3,1
799,-109,-15.6,1
800,-106,-12.3,1
801,-92,-4.0,1
802,-95,-9.3,1
803,-70,6.1,0
804,-114,-16.4,1
805,-102,-8.6,1
806,-67,4.9,0
807,-89,-6.4,1
808,-80,-4.5,0
809,-111,-17.4,1
810,-104,-9.9,1
811,-69,3.7,0
812,-118,-15.4,1
813,-110,-14.4,1
814,-57,8.4,0
815,-81,3.8,0
816,-101,-14.5,1
817,-97,-7.0,1
818,-59,11.3,0
819,-93,-6.5,1
820,-117,-17.6,1
821,-86,0.9,0
822,-73,-0.2,0
823,-117,-15.9,1
824,-75,1.5,0
825,-94,-6.2,1
826,-108,-14.4,1
827,-113,-19.3,1
828,-62,9.5,0
829,-101,-10.8,1
830,-84,-4.9,0
831,-68,6.9,0
832,-111,-16.4,0
833,-98,-7.6,1
834,-99,-9.4,1
835,-83,-2.3,1
836,-107,-13.3,1
837,-91,-5.2,0
838,-81,-2.8,0
839,-95,-6.9,0
840,-92,-6.6,1
841,-61,9.0,0
842,-99,-8.7,1
843,-89,-6.0,1
844,-117,-18.1,1
845,-80,2.3,0
846,-60,4.5,0
847,-100,-12.6,1
848,-115,-18.0,1
849,-117,-17.5,1
850,-73,3.0,1
851,-96,-8.7,0
852,-88,0.3,0
853,-69,7.1,0
854,-88,-1.0,0
855,-118,-19.4,1
856,-59,12.0,0
857,-113,-18.0,1
858,-63,7.5,0
859,-94,-6.9,1
860,-110,-15.5,1
861,-79,-0.5,0
862,-110,-16.9,1
863,-99,-11.0,1
864,-105,-10.4,1
865,-111,-15.2,1
866,-69,5.1,0
867,-93,-7.4,0
868,-92,-6.0,0
869,-104,-9.6,1
870,-112,-14.5,1
871,-74,0.5,1
872,-107,-16.9,1
873,-98,-10.6,1
874,-78,-1.2,0
875,-96,-7.2,1
876,-82,-4.9,0
877,-113,-15.4,1
878,-80,-0.6,0
879,-100,-6.1,1
880,-69,4.9,0
881,-89,-5.7,0
882,-84,-2.1,0
883,-62,9.1,0
884,-71,2.0,0
885,-64,9.6,0
886,-107,-11.7,1
887,-98,-8.5,1
888,-70,5.4,0
889,-93,-7.8,1
890,-103,-11.5,1
891,-99,-10.7,1
892,-64,8.3,0
893,-65,4.9,0
894,-62,4.1,0
895,-84,-2.7,0
896,-75,4.0,0
897,-116,-18.4,1
898,-102,-10.6,1
899,-85,-2.8,0
900,-100,-12.8,1
901,-82,-0.6,0
902,-113,-16.8,1
903,-118,-18.0,1
904,-68,3.5,0
905,-118,-16.4,1
906,-102,-14.0,1
907,-116,-19.8,1
908,-98,-9.4,1
909,-116,-15.9,1
910,-111,-14.0,1
911,-78,-0.6,1
912,-107,-12.7,1
913,-90,-5.7,1
914,-89,-2.9,0
915,-98,-9.0,1
916,-76,3.4,0
917,-116,-17.6,1
918,-99,-9.7,1
919,-88,-1.2,0
920,-113,-16.3,1
921,-88,-1.5,0
922,-62,5.4,0
923,-90,-3.0,0
924,-67,8.5,0
925,-63,9.9,0
926,-104,-11.5,1
927,-108,-12.3,1
928,-78,5.6,0
929,-103,-12.0,1
930,-92,-3.4,1
931,-107,-11.7,1
932,-57,11.5,0
933,-66,2.8,0
934,-97,-11.6,1
935,-93,-7.8,1
936,-79,-1.9,0
937,-102,-12.4,1
938,-117,-14.2,1
939,-57,12.0,0
940,-99,-6.9,1
941,-76,1.2,0
942,-104,-12.4,1
943,-101,-10.8,1
944,-62,9.9,0
945,-98,-11.3,1
946,-102,-11.0,1
947,-97,-9.1,1
948,-82,0.0,0
949,-74,3.8,0
950,-73,3.7,0
951,-113,-14.2,1
952,-86,0.1,0
953,-64,5.6,0
954,-64,5.5,0
955,-101,-12.1,1
956,-93,-5.1,0
957,-98,-6.1,1
958,-106,-13.8,1
959,-92,-3.4,1
960,-95,-9.5,1
961,-98,-8.1,1
962,-91,-4.3,1
963,-78,-2.0,0
964,-97,-7.4,1
965,-100,-8.7,1
966,-99,-8.0,1
967,-63,7.8,0
968,-69,6.2,0
969,-117,-19.9,1
970,-93,-9.9,0
971,-118,-17.7,1
972,-73,2.6,0
973,-95,-8.3,1
974,-100,-11.5,1
975,-62,9.5,0
976,-84,-3.1,1
977,-86,-3.9,0
978,-68,6.6,0
979,-111,-20.0,1
980,-82,-2.2,0
981,-80,0.8,0
982,-79,-0.4,1
983,-117,-20.0,1
984,-57,12.0,1
985,-111,-17.4,1
986,-115,-17.4,1
987,-110,-15.3,1
988,-105,-11.1,1
989,-106,-11.9,1
990,-80,-3.9,0
991,-76,-0.6,0
992,-56,9.3,0
993,-93,-6.3,1
994,-102,-11.4,1
995,-64,6.0,0
996,-106,-13.1,1
997,-95,-10.8,1
998,-83,0.1,0
999,-60,9.1,0
1000,-60,6.4,0
1001,-70,5.0,0
1002,-83,-0.4,0
1003,-68,3.9,0
1004,-74,3.8,0
1005,-117,-19.4,1
1006,-59,10.5,0
1007,-100,-11.4,1
1008,-112,-14.5,1
1009,-73,6.2,0
1010,-115,-14.0,1
1011,-70,4.9,0
1012,-61,9.2,0
1013,-118,-20.0,1
1014,-61,9.7,0
1015,-118,-20.0,1
1016,-83,-3.5,1
1017,-99,-9.6,1
1018,-56,9.8,0
1019,-88,0.1,0
1020,-67,2.8,0
1021,-105,-14.2,1
1022,-75,1.9,0
1023,-102,-11.1,1
1024,-101,-10.4,1
1025,-114,-14.7,1
1026,-96,-6.5,1
1027,-85,-2.6,1
1028,-117,-18.3,1
1029,-88,-4.5,0
1030,-111,-15.8,1
1031,-66,2.7,0
1032,-78,1.2,0
1033,-76,-1.7,1
1034,-68,5.5,0
1035,-84,-2.7,0
1036,-56,9.5,0
1037,-63,9.9,0
1038,-72,3.1,1
1039,-117,-20.0,1
1040,-81,-0.3,0
1041,-114,-15.2,1
1042,-81,-0.5,0
1043,-94,-8.5,0
1044,-75,4.3,0
1045,-98,-8.7,1
1046,-111,-14.1,1
1047,-99,-13.3,1
1048,-61,7.9,0
1049,-94,-8.6,1
1050,-73,1.8,0
1051,-112,-14.6,1
1052,-87,-4.2,0
1053,-56,12.0,0
1054,-96,-5.1,0
1055,-102,-9.3,1
1056,-82,-6.1,1
1057,-66,4.5,0
1058,-103,-11.6,1
1059,-118,-19.3,1
1060,-115,-20.0,1
1061,-109,-12.6,1
1062,-109,-17.5,0
1063,-80,-3.1,0
1064,-78,0.3,0
1065,-90,-4.9,1
1066,-73,6.7,0
1067,-88,-4.9,0
1068,-57,12.0,0
1069,-57,12.0,0
1070,-109,-15.6,1
1071,-111,-16.4,1
1072,-88,-4.7,1
1073,-60,12.0,0
1074,-58,11.5,0
1075,-88,-2.6,0
1076,-107,-12.3,1
1077,-79,0.0,0
1078,-106,-13.2,1
1079,-63,8.4,0
1080,-116,-18.0,1
1081,-74,1.9,0
1082,-101,-9.7,1
1083,-109,-14.0,1
1084,-82,-3.4,0
1085,-89,-2.8,0
1086,-67,7.4,0
1087,-104,-12.0,1
1088,-80,-1.2,0
1089,-88,-3.5,1
1090,-95,-7.4,1
1091,-103,-8.9,1
1092,-98,-7.2,0
1093,-103,-12.4,1
1094,-118,-20.0,1
1095,-65,9.6,0
1096,-72,1.6,0
1097,-107,-12.2,1
1098,-99,-10.4,1
1099,-103,-11.8,1
1100,-114,-18.7,1
1101,-120,-16.9,1
1102,-113,-17.1,1
1103,-106,-14.4,1
1104,-69,1.9,0
1105,-66,7.8,0
1106,-107,-10.7,1
1107,-110,-10.8,1
1108,-100,-11.7,0
1109,-96,-7.6,1
1110,-111,-16.6,1
1111,-101,-12.7,1
1112,-119,-20.0,1
1113,-70,4.0,1
1114,-108,-12.8,1
1115,-70,3.0,0
1116,-117,-16.0,1
1117,-97,-8.6,1
1118,-82,1.2,1
1119,-68,7.3,0
1120,-57,12.0,0
1121,-74,2.9,0
1122,-78,0.6,0
1123,-94,-7.9,0
1124,-62,10.9,0
1125,-65,6.8,0
1126,-115,-14.0,0
1127,-95,-6.0,1
1128,-87,-4.7,0
1129,-107,-13.4,1
1130,-71,7.6,0
1131,-83,0.7,0
1132,-78,3.0,0
1133,-109,-13.5,1
1134,-57,10.1,0
1135,-80,-0.9,0
1136,-81,0.9,0
1137,-85,-4.8,1
1138,-119,-18.6,1
1139,-80,-0.3,0
1140,-101,-9.4,1
1141,-98,-6.9,1
1142,-119,-19.6,1
1143,-110,-9.4,1
1144,-72,1.4,0
1145,-113,-16.0,1
1146,-116,-19.0,1
1147,-62,6.2,0
1148,-61,9.5,0
1149,-73,10.3,0
1150,-73,1.3,0
1151,-91,-7.9,0
1152,-69,2.6,0
1153,-89,-8.2,1
1154,-63,10.6,0
1155,-88,-6.9,0
1156,-82,-0.2,1
1157,-96,-8.6,1
1158,-102,-10.2,1
1159,-76,0.4,0
1160,-102,-12.8,1
1161,-87,-2.9,1
1162,-69,6.0,0
1163,-76,3.9,0
1164,-105,-11.5,1
1165,-100,-11.6,0
1166,-107,-12.8,1
1167,-101,-10.6,1
1168,-82,-0.8,0
1169,-64,8.8,0
1170,-97,-10.7,1
1171,-78,3.2,0
1172,-116,-14.1,1
1173,-95,-5.7,0
1174,-70,3.4,0
1175,-100,-9.9,1
1176,-69,1.6,0
1177,-93,-7.3,0
1178,-71,5.7,0
1179,-72,3.9,0
1180,-107,-17.1,1
1181,-108,-14.8,1
1182,-109,-12.3,1
1183,-60,10.1,0
1184,-114,-19.2,1
